Country,Region-Geo,Continent,Region,Year,IncomePerPerson,LifeExpectancy,PopulationTotal
Singapore,Asia - South Eastern,Asia,East Asia & Pacific,1952,2315.138227,59.818,1120282
Slovak Republic,Europe - Eastern,Europe,Europe & Central Asia,1952,5074.659104,64.36,3558070
Slovenia,Europe - Southern,Europe,Europe & Central Asia,1952,4215.041741,65.322,1497673
Solomon Islands,Oceania,Oceania,East Asia & Pacific,1952,1016.106015,45.135,109424
Somalia,Africa - Eastern,Africa,Sub-Saharan Africa,1952,1135.749842,33.787,2363736
South Africa,Africa - Southern,Africa,Sub-Saharan Africa,1952,4725.295531,44.693,14322458
South Sudan,Africa - Eastern,Africa,Sub-Saharan Africa,1952,1624.396805,27.599,1961925
Spain,Europe - Southern,Europe,Europe & Central Asia,1952,3834.034742,64.94,28427994
Sri Lanka,Asia - Southern,Asia,South Asia,1952,1083.53203,54.106,8495641
Sudan,Africa - Northern,Africa,Sub-Saharan Africa,1952,1615.991129,44.274,7627408
Suriname,America - South,Central and South America,America,1952,3344.637025,55.694,229598
Swaziland,Africa - Southern,Africa,Sub-Saharan Africa,1952,1148.376626,41.209,285333
Sweden,Europe - Northern,Europe,Europe & Central Asia,1952,9731.445092,71.86,7129070
Switzerland,Europe - Western,Europe,Europe & Central Asia,1952,14734.23275,69.62,4788955
Taiwan,Asia - Eastern,Asia,East Asia & Pacific,1952,1468.233225,58.5,8550000
Tajikistan,Asia - Central,Asia,Europe & Central Asia,1952,2265.293455,52.834,1626400
Thailand,Asia - South Eastern,Asia,East Asia & Pacific,1952,757.7974177,51.366,21718195
Timor-Leste,Asia - South Eastern,Asia,East Asia & Pacific,1952,740.0984575,29.708,443630
Togo,Africa - Western,Africa,Sub-Saharan Africa,1952,859.8086567,34.963,1442950
Tokelau,Oceania,Oceania,East Asia & Pacific,1952,,,1504
Tonga,Oceania,Oceania,East Asia & Pacific,1952,1451.509902,58.467,51173
Trinidad and Tobago,America - Central,Central and South America,America,1952,3023.271928,57.592,661131
Tunisia,Africa - Northern,Africa,Middle East & North Africa,1952,1468.475631,38.611,3661847
Turkey,Asia - Western,Asia,Europe & Central Asia,1952,2376.314083,40.758,22519048
Turkmenistan,Asia - Central,Asia,Europe & Central Asia,1952,3309.857704,51.073,1252660
Turks and Caicos Islands,America - Central,Central and South America,America,1952,3395.530348,,4977
Tuvalu,Oceania,Oceania,East Asia & Pacific,1952,1965.47671,,5294
Uganda,Africa - Eastern,Africa,Sub-Saharan Africa,1952,734.753484,39.738,5453244
Ukraine,Europe - Eastern,Europe,Europe & Central Asia,1952,3216.562643,65.579,38410561
United Arab Emirates,Asia - Western,Asia,Middle East & North Africa,1952,4315.820359,43.248,69504
United Kingdom,Europe - Western,Europe,Europe & Central Asia,1952,9979.508487,69.6,50706811
United States of America,America - North,North America,America,1952,17039.3819,68.44,162530196
Uruguay,America - South,Central and South America,America,1952,5716.766744,66.007,2285906
Uzbekistan,Asia - Central,Asia,Europe & Central Asia,1952,1187.740041,55.548,6633911
Vanuatu,Oceania,Oceania,East Asia & Pacific,1952,1779.7189,41.643,50295
Venezuela,America - South,Central and South America,America,1952,7689.799761,54.897,5504783
Vietnam,Asia - Southern,Asia,East Asia & Pacific,1952,605.0664917,53.129,29403860
Wallis et Futuna,Oceania,Oceania,East Asia & Pacific,1952,1727.561757,,7238
West Bank and Gaza Strip,Asia - Western,Asia,Middle East & North Africa,1952,1515.592329,46.418,931889
Western Sahara,Africa - Northern,Africa,Middle East & North Africa,1952,,35.331,17591
Yemen,Asia - Western,Asia,Middle East & North Africa,1952,,,
Zambia,Africa - Eastern,Africa,Sub-Saharan Africa,1952,1147.388831,41.863,2456377
Zimbabwe,Africa - Eastern,Africa,Sub-Saharan Africa,1952,406.8841148,48.331,2918424
Afghanistan,Asia - Southern,Asia,South Asia,1956,2511.200806,29.511,8986449
Albania,Europe - Southern,Europe,Europe & Central Asia,1956,5475.907462,57.947,1421417
Algeria,Africa - Northern,Africa,Middle East & North Africa,1956,8293.270886,44.345,9924347
American Samoa,Oceania,Oceania,East Asia & Pacific,1956,14644.54492,,19640
